	Molecule Type	Target genes	count	z-score	Direction
LPS	chemical drug	ABCB1,ABCB10,ABCB11,ABCB4,ABCC1,ABCC2,ABCC3,ABCC4,ABCC5,ABCC6,ABCF2,ABCG1,ABCG5,ABCG8,ACADM,ACE,ACE2,ACKR3,ACLY,ACO1,ACP5,ACSL1,ACTA1,ACTA2,ACTC1,ACTN4,ACVR1,ACVR2A,ACVR2B,ADA,ADAMTS1,ADAR,ADGRE1,ADH1C,ADH5,ADIPOQ,ADM,ADORA1,ADORA2A,ADORA2B,ADORA3,ADRA2A,ADRB2,AGER,AGT,AGTR1,AGTR2,AHR,AHSG,AICDA,AK4,AKAP2,AKR1C4,ALB,ALCAM,ALDH2,ALDH3A1,ALOX12,ALOX15,ALOX5,ALOX5AP,AMPD3,ANGPT2,ANGPTL2,ANGPTL3,ANGPTL4,ANK2,ANKRD22,ANXA1,ANXA3,ANXA5,ANXA7,APCS,APEX1,API5,APLNR,APOA1,APOA5,APOB,APOBEC3A,APOBEC3B,APOBEC3F,APOBEC3G,APOC1,APOC2,APOE,APOL6,APP,AQP1,AQP3,AQP4,AQP5,AQP7,AR,ARC,AREG,ARG1,ARG2,ARHGAP1,ARHGEF3,ARL4C,ARNT,ARPC1B,ARVCF,ASAP1,ASS1,ATF3,ATG7,ATP1A1,ATP1A2,ATP2A2,ATP2B1,ATP5G1,ATP6AP1,ATP6V0D1,AURKB,AVPR1A,AZGP1,AZU1,B2M,BACE1,BAG3,BAMBI,BATF,BAX,BCL10,BCL2,BCL2A1,BCL2L1,BCL2L11,BCL3,BCL6,BDKRB1,BDNF,BECN1,BGN,BHLHE40,BHMT,BID,BIRC2,BIRC3,BLZF1,BMP2,BMP4,BPI,BSG,BTG1,BTK,C3,C3AR1,C5,C5AR1,CACNA1A,CALCA,CALCB,CALM1(includesothers),CALML5,CALR,CAMP,CAPN2,CARD18,CARD6,CASP1,CASP3,CASP4,CASP5,CASP7,CASP8,CASR,CAT,CAV1,CCDC170,CCL1,CCL11,CCL17,CCL18,CCL19,CCL2,CCL20,CCL21,CCL22,CCL24,CCL25,CCL3,CCL3L3,CCL4,CCL5,CCL7,CCL8,CCNB1,CCNB2,CCND1,CCND2,CCNE1,CCNF,CCNG2,CCNI,CCNL1,CCR1,CCR10,CCR2,CCR3,CCR4,CCR5,CCR6,CCR7,CCR8,CCR9,CCRL2,CD14,CD160,CD163,CD163L1,CD1A,CD1D,CD200,CD209,CD22,CD274,CD276,CD28,CD2AP,CD300LD,CD300LF,CD33,CD36,CD37,CD38,CD3E,CD4,CD40,CD40LG,CD44,CD46,CD48,CD53,CD55,CD58,CD59,CD69,CD74,CD80,CD83,CD86,CD8A,CD9,CDC42EP2,CDC42EP3,CDC42EP4,CDH11,CDH2,CDH5,CDK4,CDK5R1,CDK6,CDKN1A,CDKN1B,CEACAM1,CEACAM8,CEBPA,CEBPB,CEBPD,CEMIP,CENPI,CES1,CETP,CFB,CFD,CFLAR,CFP,CFTR,CH25H,CHAF1B,CHFR,CHI3L1,CHST3,CHST7,CHUK,CIITA,CISH,CLDN1,CLDN14,CLDN5,CLEC4D,CLEC4E,CLEC5A,CLEC7A,CLIC3,CLIC4,CMPK2,CNNM2,CNR2,COL12A1,COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,COL4A6,COL5A1,COL5A2,COL5A3,COL6A1,COL9A1,COL9A3,CORO1A,COX4I1,COX6A2,COX7A1,CP,CPB2,CPT1B,CR1L,CR2,CREBBP,CREM,CRH,CRHR1,CRHR2,CRK,CRLF2,CRP,CRTAM,CRTAP,CRYAB,CRYBA4,CSF1,CSF1R,CSF2,CSF2RA,CSF2RB,CSF3,CSF3R,CSPG4,CST3,CSTB,CTGF,CTH,CTLA4,CTNNB1,CTSB,CTSC,CTSK,CTSL,CTSV,CUBN,CUX2,CX3CL1,CX3CR1,CXCL1,CXCL10,CXCL11,CXCL12,CXCL13,CXCL14,CXCL16,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,CXCL9,CXCR1,CXCR2,CXCR3,CXCR4,CXCR5,CXCR6,CYB5A,CYBA,CYBB,CYCS,CYP11A1,CYP11B2,CYP1A1,CYP1A2,CYP27A1,CYP27B1,CYP2A6(includesothers),CYP2B6,CYP2C8,CYP2E1,CYP3A4,CYP3A5,CYP4A11,CYP4F2,CYP7A1,CYP7B1,CYR61,CYTIP,DAG1,DAXX,DCN,DDIT3,DDIT4,DDN,DDX17,DDX27,DDX3X,DDX58,DDX6,DEFB1,DEFB103A/DEFB103B,DEFB104A/DEFB104B,DEFB4A/DEFB4B,DGAT1,DHCR24,DHX58,DIO2,DKK3,DLG4,DLL4,DMBT1,DNAJB1,DNAJB11,DNAJB2,DNAJB9,DNMT1,DRAM1,DRD5,DUSP1,DUSP16,DUSP2,DUSP4,DUSP5,DUSP8,DVL2,DYRK3,E2F1,EBI3,EDN1,EEF1A1,EEF2,EEFSEC,EFNB2,EGFR,EGR1,EGR2,EGR3,EGR4,EHD1,EHHADH,EIF2AK2,EIF2AK3,ELANE,ELF3,ELK1,ELK3,EMB,EMCN,ENO1,ENPP2,EP300,EPHX2,ERCC1,EREG,ERF,ERN1,ERP44,ERRFI1,ETS2,ETV3,ETV5,ETV6,ETV7,F2,F2R,F2RL1,F2RL2,F3,FAAH,FABP1,FABP2,FABP3,FABP4,FABP5,FAS,FASLG,FASN,FBLN2,FBN1,FBXO32,FCER1G,FCGR2B,FCGRT,FDCSP,FEM1C,FES,FFAR2,FGB,FGF2,FGF21,FLI1,FLOT2,FLT1,FMO1,FN1,FOS,FOSB,FOXA1,FOXA2,FOXC2,FOXG1,FOXL1,FOXO1,FOXP3,FPR1,FPR2,FSCN1,FST,FTH1,FURIN,FYB,FYN,G0S2,G6PC,G6PD,GAB1,GABARAP,GADD45A,GADD45B,GALP,GAP43,GAS1,GATA1,GBP1,GBP2,GBP3,GBP4,GBP5,GBP6,GCA,GCH1,GCHFR,GCLC,GCLM,GDI2,GEM,GEMIN4,GFAP,GGCT,GHR,GHRH,GHRHR,GHRL,GIMAP7,GJA1,GJA5,GJB2,GK,GLCCI1,GLIS2,GLP2R,GLRB,GLS,GMFG,GNA15,GNMT,GNPNAT1,GNRH1,GNRHR,GPC4,GPD1,GPR183,GPR35,GPR84,GPR85,GPSM1,GPT,GPX1,GRASP,GSN,GSPT2,GSTP1,GTSE1,GUCY1A3,GUCY1B3,GZMA,GZMB,GZMH,H1FX,HADHB,HAMP,HBEGF,HCAR2,HCAR3,HCK,HDAC3,HDAC9,HDC,HDGF,HERC5,HERPUD1,HES1,HES5,HESX1,HEY1,HGF,HHEX,HIF1A,HIVEP1,HIVEP2,HK2,HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HMGA1,HMGB1,HMGB2,HMGCR,HMGCS2,HMOX1,HNF1A,HNF4A,HP,HPGD,HSD11B1,HSH2D,HSP90B1,HSPA1A/HSPA1B,HSPA4L,HSPA5,HSPA8,HSPB1,HTR1A,HTRA1,HYOU1,ICAM1,ICAM2,ICOSLG/LOC102723996,ID2,ID3,IDH1,IDO1,IDO2,IER3,IFI16,IFI27,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT1B,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFNA1/IFNA13,IFNA2,IFNA4,IFNB1,IFNE,IFNG,IFNGR2,IFNK,IFNL1,IFNL2,IFNL3,IFNW1,IFRD1,IGF1,IGFBP1,IGFBP3,IGFBP4,IGFBP5,IGSF6,IKBKE,IL10,IL10RA,IL10RB,IL11,IL12A,IL12B,IL12RB1,IL12RB2,IL13,IL13RA1,IL13RA2,IL15,IL15RA,IL16,IL17A,IL17B,IL17RA,IL18,IL18R1,IL18RAP,IL19,IL1A,IL1B,IL1R1,IL1R2,IL1RAP,IL1RAPL1,IL1RN,IL2,IL20,IL20RB,IL21R,IL22,IL23A,IL23R,IL24,IL27,IL2RA,IL2RB,IL2RG,IL32,IL33,IL36A,IL36B,IL36G,IL3RA,IL4,IL4I1,IL4R,IL5,IL5RA,IL6,IL6R,IL6ST,IL7,IL7R,IL9,IL9R,INHBA,INHBB,INPP5D,INSIG1,INSR,IPO5,IRAK1,IRAK2,IRAK3,IRAK4,IREB2,IRF1,IRF2,IRF3,IRF4,IRF5,IRF7,IRF8,IRF9,IRG1,IRGM,ISG15,ISG20,ITGA3,ITGA4,ITGA5,ITGA8,ITGAL,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ITGB5,ITGB7,ITGB8,ITIH2,ITIH4,ITPKC,JAG1,JAK2,JAK3,JCHAIN,JDP2,JUN,JUNB,JUNBCES1,JUND,KANK1,KANK1CETP,KCNAB2,KCNE5,KCNJ1,KCNJ10,KCNJ15,KCNK1,KCNK5,KCNN4,KDR,KIAA1551,KIF23,KIFC1,KIT,KLF10,KLF2,KLF4,KLF6,KMO,KRT13,KRT4,KYNU,LAMB1,LAMP3,LASP1,LBP,LCK,LCN2,LCP2,LDB2,LDLR,LEP,LGALS1,LGALS3,LGALS3BP,LGALS9,LHB,LIF,LIFR,LILRB4,LIMK2,LIMS1,LIPA,LIPG,LITAF,LMNB1,LOR,LPAR1,LPIN2,LPL,LRBA,LRP1,LRRFIP1,LRRK2,LST1,LTA,LTA4H,LTB4R,LTC4S,LTF,LY96,LYN,LYNX1,LYZ,M6PR,MAF,MAFB,MAFF,MALT1,MAP1LC3B,MAP2K2,MAP2K7,MAP3K8,MAP4K4,MAPK8,MAPK9,MAPT,MARCH7,MARCKS,MARCKSL1,MARCO,MAT1A,MAT2A,MB,MBL2,MC2R,MCL1,MCM10,MCM5,MCTS1,MDH1,MDM2,MED1,MED20,MEFV,MET,MFI2,MFN1,MFN2,MGST2,MICA,MIF,MKI67,MLXIPL,MME,MMP1,MMP10,MMP12,MMP13,MMP14,MMP2,MMP23B,MMP3,MMP7,MMP8,MMP9,MPO,MRC1,MSC,MSN,MSR1,MST1R,MT-CO1,MT2A,MTDH,MTF1,MTTP,MUC2,MUC20,MUC5AC,MUC5B,MX1,MX2,MXD1,MXD4,MYBL2,MYC,MYCN,MYD88,MYH14,MYH7,MYH9,MYL2,MYL3,MYL9,NAMPT,NCF1,NCF2,NCOA1,NCOA3,NCR3,NDFIP1,NDUFV2,NEDD4L,NFAT5,NFATC1,NFE2,NFIL3,NFIX,NFKB1,NFKB2,NFKBIA,NFKBIB,NFKBID,NFKBIE,NFKBIZ,NGF,NGFR,NID1,NID2,NKX3-2,NKX6-2,NLRC5,NLRP2,NLRP3,NLRP7,NNMT,NOD1,NOD2,NOS1,NOS2,NOS3,NOTCH1,NOTCH2,NOX1,NPHS1,NPHS2,NPPA,NPPB,NPPC,NPTX1,NQO1,NR0B2,NR1H3,NR1H4,NR1I2,NR1I3,NR3C1,NR4A1,NR4A2,NR4A3,NR5A2,NRP1,NRTN,NSFL1C,NT5C3A,NTS,NUPR1,NUSAP1,OAS1,OAS2,OAS3,OASL,OASLACKR1,OASLFTH1,ODC1,OGN,OLR1,OPRM1,ORAI1,ORM1,ORM2,OSM,OSMR,OXCT1,P2RX4,P2RY6,P4HA1,P4HB,PANX1,PAPSS2,PARK7,PAX5,PBK,PC,PCDH7,PCNA,PCOLCE,PCOLCE2,PCSK6,PDCD1LG2,PDCD4,PDE1C,PDE4B,PDGFA,PDGFB,PDIA3,PDIA4,PDK4,PDYN,PECAM1,PELI1,PENK,PERP,PF4,PFKFB3,PGLYRP1,PGR,PHLDA1,PHLDB2,PI3,PIGR,PIK3AP1,PIK3CG,PIK3R1,PIM1,PIM2,PLA2G2A,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G5,PLA2G7,PLAA,PLAGL2,PLAT,PLAU,PLAUR,PLD4,PLEK,PLEKHA1,PLG,PLIN2,PLK1,PLK2,PLK3,PLSCR1,PMAIP1,PML,PNOC,PNPLA1,POLA1,POMC,POU1F1,POU2F1,POU2F2,PPARA,PPARD,PPARG,PPARGC1A,PPARGC1B,PPIA,PPP1CB,PPP1R15A,PPP1R16B,PRAME,PRC1,PRDM1,PRDX1,PRDX5,PRKACA,PRKCA,PRKCZ,PROC,PROCR,PROK1,PRTN3,PSMA2,PSMA5,PSMA6,PSMB10,PSMB4,PSMB8,PSMB9,PSME1,PSME2,PSTK,PTAFR,PTCH1,PTEN,PTGDS,PTGER2,PTGER4,PTGES,PTGS1,PTGS2,PTHLH,PTPN11,PTPN2,PTPN7,PTPRB,PTPRCAP,PTPRG,PTPRO,PTPRU,PTX3,PYCARD,QRFP,RAB1B,RAB20,RAB37,RAB3B,RAB6A,RALGDS,RAN,RANBP2,RARA,RARRES3,RASL11A,RB1,RB1CC1,RBMS1,RCAN1,RDX,REG3G,REL,RELA,RELB,RETN,RETNLB,REXO1,RFC1,RFPL1/RFPL3,RFX7,RGS1,RGS16,RGS2,RGS7,RHOB,RIPK2,RNASE2,RND3,RNF19A,RPTN,RPTNABCA1,RSAD2,RUNX2,RXRA,RXRB,RXRG,S100A12,S100A2,S100A8,S100A9,S1PR1,S1PR3,SAA1,SAA2,SAMSN1,SAP18,SARM1,SAT1,SATB1,SCARB1,SCARF1,SCML2,SCNN1A,SCNN1B,SCNN1G,SCUBE1,SCUBE2,SDC1,SDC4,SEC11A,SECTM1,SELE,SELENBP1,SELL,SELP,SEMA3A,SEMA3G,SENP1,SEPHS2,SEPP1,SEPSECS,SERPINA1,SERPINA3,SERPINB1,SERPINB2,SERPINB9,SERPINC1,SERPINE1,SERPINE2,SERPINF1,SERPINF2,SERPINH1,SERPINI1,SESN1,SFN,SFTPA1,SFTPD,SFXN1,SGPP2,SHH,SIGIRR,SIRPA,SIRT1,SIRT3,SIRT6,SKI,SLAMF1,SLAMF7,SLC10A1,SLC11A1,SLC11A2,SLC12A1,SLC15A3,SLC16A2,SLC1A5,SLC22A1,SLC22A8,SLC28A1,SLC28A2,SLC29A1,SLC2A1,SLC2A2,SLC30A1,SLC30A4,SLC30A6,SLC31A2,SLC35A2,SLC39A10,SLC39A14,SLC39A6,SLC39A8,SLC3A2,SLC40A1,SLC46A1,SLC5A1,SLC5A2,SLC7A11,SLC9A1,SLC9A3,SLCO1B3,SLCO2A1,SLFN12L,SLFN13,SLPI,SMAD2,SMAD4,SMAD7,SMNDC1,SNAP23,SNCAIP,SNTB2,SNX12,SNX5,SOCS1,SOCS2,SOCS3,SOCS7,SOD1,SOD2,SOX13,SP1,SPAG11B,SPAG9,SPARC,SPHK1,SPI1,SPINT2,SPP1,SPR,SPRR3,SPTLC2,SREBF1,SSBP1,SSR1,ST6GAL1,STAM2,STAP1,STAP2,STAR,STAT1,STAT2,STAT3,STAT4,STAT6,STEAP4,STIM1,STMN1,STS,STX11,STX2,STX4,STX6,STXBP1,STXBP2,SULT2A1,SUMO1,SUMO2,SWAP70,SYNPO,SYP,TAC1,TACC3,TAF4B,TALDO1,TANK,TAP1,TAPBP,TAT,TBK1,TBX21,TCAP,TCF21,TCF3,TCF7L2,TDO2,TEK,TERF2,TERT,TF,TFAM,TFDP1,TFEC,TFPI,TFPI2,TFRC,TGFA,TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR2,TGFBR3,TGIF1,TGM2,TH,THBD,THBS1,THBS2,THPO,THRA,THRB,THRSP,THY1,TIMP1,TIMP2,TIMP3,TIMP4,TIPARP,TIRAP,TKT,TLR1,TLR10,TLR2,TLR3,TLR4,TLR5,TLR6,TLR7,TLR8,TLR9,TMSB10/TMSB4X,TNC,TNF,TNFAIP1,TNFAIP2,TNFAIP3,TNFAIP6,TNFRSF11A,TNFRSF13B,TNFRSF1A,TNFRSF1B,TNFRSF4,TNFRSF9,TNFSF10,TNFSF11,TNFSF13,TNFSF13B,TNFSF14,TNFSF15,TNFSF18,TNFSF4,TNFSF9,TNIP1,TNIP3,TNK2,TNNC1,TNNI3,TNNT2,TNNT3,TOLLIP,TOP2A,TOR3A,TP53,TP53BP2,TP63,TPBG,TPO,TPT1,TRADD,TRAF1,TRAF2,TRAF3,TRAF6,TRAFD1,TRB,TREM1,TREM2,TREML2,TREX1,TRG,TRIB1,TRIM21,TRIM22,TRIM25,TRIM63,TSC22D1,TSPO,TTR,TUBB4B,TWF2,TXN,TXNIP,TYMP,TYROBP,UBA1,UBE2I,UCHL1,UCN,UCP2,UCP3,ULBP1,ULBP2,ULBP3,UNC119,USP18,UTRN,UTS2R,VAV1,VCAM1,VCAN,VCL,VDR,VEGFA,VEGFC,VEZF1,VHL,VIM,VIP,VIPR2,VLDLR,VNN3,VSIG4,VTI1B,VTN,VWF,WARS,WEE1,WISP1,WT1,WTAP,XAF1,XBP1,XCL1,XCL2,XCR1,XDH,XIAPACKR1,YBX1,YBX3,YWHAE,YWHAG,YWHAQ,YY1,ZBTB7A,ZC3H12A,ZC3H12C,ZFP36,ZFP36L2,ZFPM1,ZNF281,ZYXABCA1,ABCA1,ACKR1	1505.0	10.597333333333333	induced
MAF	transcription regulator	ANPEP, CRYAA/LOC102724652, CRYAB, CRYBA1, CRYBA2, CRYBA4, CRYBB1, CRYBB2, CRYBB3, CRYGA, CRYGB, CRYGC, CRYGD, CXCR5, G6PC2, GCG, GCLM, IFNG, IL10, IL12A, IL12B, IL12RB1, IL13, IL17A, IL17F, IL1R1, IL21, IL23R, IL2RA, IL4, IL5, INSCRYAA/LOC102724652, INS, MAF, MAFG, NQO1, NUAK1G6PC2, NUAK1, PCSK2, PRDM1, RORC	41.0	3.5636666666666668	induced
MAP2K1	kinase	ABCB1, ABCC1, ACSBG1, ACTA2, ADGRG1, AHR, ALDH1L1, APOBEC3G, APOE, AREG, ASGR2, ATF3, BCL2, BCL2A1, BCL2L11, BIRC2, BIRC3, BRCA1, CALCB, CAPN3, CCL2, CCL3L3, CCL4, CCL5, CCND1, CD274, CD44, CDH5, CDK2, CDKN1A, CDKN1B, CDKN2A, CDKN2B, CEBPA, CFLAR, CKM, CLDN2, COL1A1, COL1A2, COL3A1, CRP, CSF2, CSTA, CTGF, CTSB, CXCL3, CXCL8, CYP11A1, CYP17A1, CYP46A1, DAB2, DKK1, DNMT1, DPP4, DUSP1, DUSP5, DUSP6, EGR2, ELK1, ENO1, ENO2, ETV5, F2R, F3, FASLG, FASN, FBXW11, FGF2, FOS, FOSL1, FURIN, GLI2, GPRC5B, GRIN1, GUSB, HDC, HIF1A, HSPA5, IGF1R, IL13RA2, IL1A, IL2, IL6, IRS1, ITGA2B, ITGA5, ITGB1, ITGB3, ITGB4, IVL, JUN, JUND, JUPCFLAR, JUP, LDLR, LEP, LGALS3, LHB, LHCGR, MAG, MAOB, MBP, MITF, MMP1, MMP12, MMP14, MMP2, MMP3, MMP9, MPZ, MUC5B, MYC, MYCN, MYH2, NFKBIA, NOS2, NUDT19ABCB1, PIM1, PLA2G4A, PLAUR, PMP2, PTGS2, PTPN13, RAB38, RAP1GAP, RAP2B, RRAGD, SCARB1, SERPINA1, SERPINE2, SIRPA, SMAD2, SMAD3, SNAI2, SP1, SPDEF, STAR, SULT1E1	138.0	6.589499999999999	induced
MAP2K3	kinase	COL10A1, COL1A1, COL1A2, COL3A1, CTSK, CXCL10, CXCL8, CXCL9, DDIT3, FASLG, GP9, GSTP1, ICAM1, IFNG, IL12A, IL12B, IL1B, IL4, IL6, IRF9, ISG15, IVL, MAOB, MMP1, MMP13, MMP3, MMP9, MUC5AC, MUC5B, MYH6, MYH7, NFATC1, NOS2, NPPAGP9, NPPA, OSCAR, PLAU, PPA1, PPARGC1A, PRDX6, PTGS2, RAB34, RELA, RGS7ACTA1, ARG2, ARL1, ATP2A2, BAX, CCL8, CDKN1A, CDKN1B, RGS7, SERPINE1, SGK1, SLC1A3, SLC2A4, SLC5A5, STAT1, STK4	59.0	4.9665	induced
MAP2K6	kinase	ACP5, ACTA1, ACTA2, ATP2A2, BAX, BCL2, BGN, BTRC, CCL2, CCL8, CCND1, CD40, CD83, CD86, CDC25C, CDKN1A, CHGA, CKM, COL10A1, CRYAB, CXCL10, CXCL8, CXCL9, IFIT2, IFNG, IHH, IL13RA2, IL2, IL4, IL6, IRF9, IRS1, IRS2, ISG15, IVL, JUNCHGA, JUN, LDLR, MEF2A, MMP1, MMP13, MMP2, MMP3, MMP9, MUC5AC, MYH1, MYH11, MYH6, MYH7, MYOD1, MYOG, NOS2, NPPA, NPPB, NPR1IFIT2, NPR1, OSCAR, PLA2G2A, PLAU, PPARGC1A, PRDX1, PTGS2, PTH1R, RELA, RELB, RGS7ACP5, RGS7, SLC1A3, SLC2A4, STAT1	70.0	3.4403333333333332	induced
MAP2K7	kinase	ANGPT2, ATF3, BIRC3, BTRC, CCL5, CCND1, CDKN1A, CDKN2A, CRYBA4, CSTA, CXCL10, CXCL8, DUT, DYRK4, EFNB2, ENPP2, ERCC1, FAS, FCGRT, GJA1, HSPA1L, HSPA5, IL1R1, IL2, IL4, ITGB1, IVL, JUNBCRYBA4, JUNB, KLC1, LMO7, LSP1, MAOB, MAP2K4, MAPK8, MMP3, MTTP, MUC5B, MYC, MYH7, NPPAGJA1, NPPA, P2RX4, PDIA3, PLA2G4A, PLAU, PPP1R7, PTPN11, RHOB, RPS6	50.0	2.219666666666667	induced
MAP3K1	kinase	COL3A1, COL4A1, CSF2, CSTA, CXCL8, CYP7A1, DUSP1, EGR1, FAS, FASLG, FOS, HMOX1, HSPB1, IKBKB, IL2, IRF3, IVL, JUN, LDLR, LOXL3, MAN2B2, MAOB, MAPK8IP1, MMP13, MMP3, MUC4, MYH2, NOV, NPPAHMOX1, NPPA, PGR, PLA2G4A, PLAU, PLAUR, PPARD, PRDX1, PTGS2, RGS4, RGS7MAN2B2, RGS7, SERPINE1, TGFB1, THBS1, TIMP1, TNC, TNF, TNFRSF10A, TOP2A, TP53, TPH1	50.0	3.231	induced
MAP3K14	kinase	ADAM8, BCL2L1, BIRC3, BST1, CCL27, CCL5, CD44, CDC37, CFLAR, CXCL1, CXCL2, CXCL8, CYP19A1, EGFR, FAS, GADD45A, GTF2H4, ICAM1, ICOSLG/LOC102723996, IKBKB, IL10, IL13, IL15, IL1A, IL1R2, IL2, IL21, IL22, IL26, IL4, IL5, IL6, IL7R, IL9CFLAR, IL9, LTA, LTB, MUC2, NFKB1, NFKBIA, NFKBIE, NOS2GADD45A, NOS2, PLA2G4A, PON2, PTEN, PTGS2, RCAN1, REL, RELA, RELB	51.0	3.800333333333333	induced
MAP4K4	kinase	ACAA2, ACACA, ACACB, ACADS, ACADVL, ACLY, ACO2, ACSL5, AGL, AGPAT3, ALDH3B1, ALDH4A1, ALG14, ALG9, APIP, ARAF, ATP6V0A2, ATP6V0E1, AUH, BCAT2, BCKDHB, CBLB, CCBL2, CEBPA, CEBPB, CHKB, CHPT1, CHSY1, COQ3, COQ5, COX10, COX11, CYC1, DHODH, DHRS4, DLAT, DLD, DLST, EIF4E2, FAR1, FASN, GCDH, GLUL, GOT1, GRHPR, GYS1, H6PD, HADH, HADHA, HADHB, HMGCL, HSD3B7, HYAL2, IMPDH1, ITGA5, IVDGCDH, IVD, LDHB, MGLL, MLXIPL, MPI, NDUFA11, NDUFA3, NDUFA5, NDUFAB1, NDUFB7, NDUFS1, NDUFS4, NDUFS8, NDUFV1, NT5C2, NT5M, OGDH, PAPSS2, PDHX, PDXP, PEX11A, PEX16, PEX19, PEX3, PFKM, PGAM1, PGM1, PHYH, PI4K2B, PIGO, PLA2G12A, PLA2G6, PLCB4, PMM1, PNPLA3, POLE3, PON2, PPARG, PRKAR2A, PTDSS2, PTGES, PTS, PXMP2, RPS6KB1, RPS6KB2MGLL, RPS6KB2, SCD, SCP2, SEPHS1, SLC2A4, SREBF1, ST3GAL2, ST3GAL4, SUCLG1ACAA2, SUCLG1	111.0	-7.3773333333333335	repressed
MAPK14	kinase	ABCA1, ACP5, ACTA1, ACTA2, ANKRD1, AREG, ATF2, ATP5J2, BAX, BCL2, BGLAP, CALR, CAT, CCL2, CCL25, CCL5, CCNA2, CCNB1, CCND1, CCR7, CD40, CD80, CD83, CD86, CDKN2A, CEBPD, CKM, COL10A1, COL1A1, CRP, CRYAB, CXCL10, CXCL8, CYP51A1, CYP7A1, DLL1, DUSP1, EFNA1, EGFR, EPO, FAS, FASLG, FASN, FDPS, FGFBP1, FLT1, FN1, FOS, FOSL2, G6PC, GADD45A, GJA1, GNAS, HAND2, HAS2, HMGCR, HMOX1, HSPA12B, ICAM1, IFNG, IGF2, IL10, IL12A, IL12B, IL13, IL18, IL1B, IL2, IL22, IL4, IL5, IL6, ITGB8, IVL, JUN, JUNB, JUNDCKM, JUND, KDR, KITLG, LDLR, MAOB, MAP2K6, MAPK14, MEF2C, MMP1, MMP13, MMP3, MMP9, MUC5B, MYH11, MYH6, MYOG, NFATC1, NGFR, NOS2, NPPA	97.0	5.6419999999999995	induced
MAPK3	kinase	B4GALT1, B4GALT5, BCL2L11, BMP4, CCL3, CCND1, CD69, CDKN2B, CGA, CSTA, CTNNB1, CXCL8, CYP24A1, DUSP4, EGR1, ESR1, FN1, FOS, FOSB, FOSL1, FURIN, GNRHR, HDC, IFNG, IFNL1, IL10, IL13, IL2, IL2RA, IL4, IL5, IL6, ITGB1, JUN, JUNB, JUNDCGA, JUND, LEPROT, LEPROTL1, MCL1, MMP1, MMP9, MYC, MYRFFURIN, MYRF, PDGFB, PIAS1, PLA2G4A, PLAUR, PPARGC1A, PTGES, PTGS2	52.0	3.798	induced
MAPK8	kinase	ABCA1, ABCB1, ACSL4, ADARB1, AGRP, AKT1, APOA1, APOD, APOE, AQP1, ATG5, ATG7, B4GALT1, B4GALT5, BCL2, BCL2L11, BDP1, BIRC3, BMP4, BRF1, BTRC, CCL5, CCNA2, CCND1, CDH1, CDH2, CDK2, CDKN1A, CDKN1B, CDKN2A, CEBPB, COL1A1, CRP, CSTA, CXCL16, CXCL8, CYBB, CYP11A1, CYP19A1, CYP1A1, CYP27A1, CYP7A1, CYP8B1, DGAT1, DIO2, DNMT1, DUSP1, DUSP4, EGF, EGR1, ELK1, EOMES, ETS1, FASLG, FOS, FOSL1, FOSL2, FOXO1, FOXO4, FTH1, FUS, G6PC, GCK, GSTM1, HDAC6, HIPK3, HMOX1, IFNG, IL10, IL12B, IL13, IL1B, IL2, IL2RA, IL4, IL5, IL6, JUN, JUNDCOL1A1, JUND, KLB, LHB, LIF, MAOB, MAP3K11, MAP3K9, MIF, MMP1, MMP13, MMP2, MMP3, MMP9, MSR1, MTHFR, MTTP, MUC5B, MVP, MYC, MYOG, NEFL, NOS2, NOX4, NPPA, NPPB, NUPR1	105.0	4.9345	induced
MAPK9	kinase	ACACA, ACLY, AGPAT6, AQP1, BAK1, BAX, BCL2, BCL2L11, BDP1, BIRC3, BMP1, BMP4, BRF1, CACNB3, CAV1, CCL2, CD70, CDKN1A, CDKN1B, CDKN2A, CDT1, CEBPB, CHERP, CIDEC, CXCL8, CYP1A1, DIO2, DLK1, DMD, EDN1, EGF, EGR1, FASLG, FASN, FGL2, FOS, FOSL1, FOSL2, GADD45B, GAPDH, GSTM1, HDC, HIF1A, HMGA1, HMGN2, IER2, IFI16, IFNA4, IFNB1, IFNG, IGFBP2, IL11, IL12A, IL12B, IL12RB2, IL15RA, IL18, IL1B, IL2, IL4, IL5, IL6, IRF9, ISG20, ITGB4, JUN, JUNB, JUNDCHERP, JUND, LGALS3BP, LIF, LMNA, LMO7, LPL, LSM3, LSM5, LTA, LUC7L3, MARCKSL1, METAP2, MIF, MMP12, MMP3, MMP9, MUC5B, MYC, NCL, NME2, NMI, NOS2, NOS3, NR1H3, NR3C2GADD45B, NR3C2, PARP14, PDIA3, PLA1A, PLA2G4A, PLAT, PLIN2, PPARA, PPARG, PPP1R15A, PTCH1, PTEN, PTGES, PTX3, RAC1, RAD23B, RBL1, RILPL1, RPSA	112.0	3.8486666666666665	induced
